1000,0.732851
2000,0.6887
3000,0.723
4000,0.764799
5000,0.745098
6000,0.764598
7000,0.764799
8000,0.747499
9000,0.754899
10000,0.757249
11000,0.747549
12000,0.745099
13000,0.75965
14000,0.747649
15000,0.7525
16000,0.7279
17000,0.757349
18000,0.764749
19000,0.769599
20000,0.73285
21000,0.70595
22000,0.754848
23000,0.77935
24000,0.7697
25000,0.767149
26000,0.767099
27000,0.77205
28000,0.767099
29000,0.7622
30000,0.786799
31000,0.784249
32000,0.779449
33000,0.732849
34000,0.754849
35000,0.769648
36000,0.767149
37000,0.757299
38000,0.769549
39000,0.767249
40000,0.769599
41000,0.774499
42000,0.762349
43000,0.774598
44000,0.769649
45000,0.774399
46000,0.771999
